Unnamed: 0,pl_name,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_locale,sy_dist,sy_disterr1,sy_disterr2,sy_dist.1,sy_disterr1.1,sy_disterr2.1,pl_nnotes
100,CoRoT-24 c,2,1,2,4,2,591.555,16.043,-15.232,591.555,16.043,-15.232,0.0
101,CoRoT-25 b,1,1,1,4,2,1103.48,44.28,-41.05,1103.48,44.28,-41.05,0.0
102,CoRoT-26 b,1,1,1,4,2,1045.18,4.8765,-4.7835,1045.18,4.8765,-4.7835,0.0
103,CoRoT-27 b,1,1,1,4,2,1010.28,69.26,-61.036,1010.28,69.26,-61.036,0.0
104,CoRoT-28 b,1,1,1,4,2,766.183,14.685,-14.152,766.183,14.685,-14.152,0.0
105,CoRoT-29 b,1,1,1,4,2,806.507,44.027,-39.76,806.507,44.027,-39.76,0.0
106,CoRoT-3 b,1,1,1,4,2,768.771,30.791,-28.545,768.771,30.791,-28.545,0.0
107,CoRoT-30 b,1,1,1,4,2,1032.23,48.57,-44.467,1032.23,48.57,-44.467,0.0
108,CoRoT-31 b,1,1,1,4,2,2005.76,169.79,-145.71,2005.76,169.79,-145.71,0.0
109,CoRoT-35 b,1,1,1,4,2,1123.21,55.9,-50.92,1123.21,55.9,-50.92,0.0
110,CoRoT-36 b,1,1,1,4,2,925.958,27.796,-26.247,925.958,27.796,-26.247,0.0
111,CoRoT-4 b,1,1,1,4,2,726.412,15.181,-14.582,726.412,15.181,-14.582,0.0
112,CoRoT-5 b,1,1,1,4,2,882.472,25.62,-25.62,882.472,25.62,-25.62,0.0
113,CoRoT-6 b,1,1,1,4,2,645.294,12.453,-11.997,645.294,12.453,-11.997,0.0
114,CoRoT-7 b,1,1,3,4,2,159.906,0.917,-0.906,159.906,0.917,-0.906,3.0
115,CoRoT-7 c,2,1,3,1,2,159.906,0.917,-0.906,159.906,0.917,-0.906,4.0
116,CoRoT-7 d,3,1,3,1,1,159.906,0.917,-0.906,159.906,0.917,-0.906,2.0
117,CoRoT-8 b,1,1,1,4,2,322.037,2.714,-2.714,322.037,2.714,-2.714,0.0
118,CoRoT-9 b,1,2,1,4,2,412.98,4.725,-4.622,412.98,4.725,-4.622,2.0
119,CoRoTID 223977153 b,1,1,1,4,2,576.683,10.436,-10.436,576.683,10.436,-10.436,0.0
120,DE CVn b,1,2,1,3,1,30.5225,0.0284,-0.0285,30.5225,0.0284,-0.0285,1.0
121,DENIS-P J082303.1-491201 b,1,1,1,5,1,20.77,0.08,-0.08,20.77,0.08,-0.08,0.0
122,DH Tau b,1,1,1,2,1,134.846,1.282,-1.258,134.846,1.282,-1.258,1.0
123,DMPP-1 b,1,1,4,1,1,62.5388,0.1782,-0.1773,62.5388,0.1782,-0.1773,1.0
124,DMPP-1 c,2,1,4,1,1,62.5388,0.1782,-0.1773,62.5388,0.1782,-0.1773,1.0
125,DMPP-1 d,3,1,4,1,1,62.5388,0.1782,-0.1773,62.5388,0.1782,-0.1773,1.0
126,DMPP-1 e,4,1,4,1,1,62.5388,0.1782,-0.1773,62.5388,0.1782,-0.1773,1.0
127,DMPP-2 b,1,1,1,1,1,137.94,0.681,-0.675,137.94,0.681,-0.675,1.0
128,DMPP-3 A b,1,2,1,1,1,45.23,1.6,-1.72,45.23,1.6,-1.72,2.0
129,DMPP-4 b,1,1,1,1,3,25.3284,0.0382,-0.038,25.3284,0.0382,-0.038,1.0
130,DP Leo b,1,2,1,3,1,305.684,33.554,-27.604,305.684,33.554,-27.604,1.0
131,DS Tuc A b,1,2,1,4,2,44.0622,0.0693,-0.0691,44.0622,0.0693,-0.0691,2.0
132,EPIC 201170410.02,1,1,1,4,2,134.0,45.8,-39.8,134.0,45.8,-39.8,0.0
133,EPIC 201238110 b,1,1,1,4,2,159.259,1.414,-1.39,159.259,1.414,-1.39,0.0
134,EPIC 201427007 b,1,1,1,4,2,706.391,16.79,-16.79,706.391,16.79,-16.79,1.0
135,EPIC 201497682 b,1,1,1,4,2,253.026,1.664,-1.664,253.026,1.664,-1.664,0.0
136,EPIC 201595106 b,1,1,1,4,2,232.1,2.706,-2.646,232.1,2.706,-2.646,0.0
137,EPIC 201615463 c,2,1,2,4,2,476.882,9.692,-9.321,476.882,9.692,-9.321,0.0
138,EPIC 201754305 d,3,1,3,4,2,334.967,4.1785,-4.1785,334.967,4.1785,-4.1785,0.0
139,EPIC 201757695.02,1,1,1,4,2,577.6,33.2,-29.8,577.6,33.2,-29.8,0.0
140,EPIC 201833600 c,2,1,2,4,2,257.443,3.239,-3.239,257.443,3.239,-3.239,0.0
141,EPIC 201841433 b,1,1,1,4,2,436.488,8.178001,-7.888,436.488,8.178001,-7.888,0.0
142,EPIC 205950854 c,2,1,2,4,2,243.935,4.239,-4.099,243.935,4.239,-4.099,1.0
143,EPIC 206024342 b,1,1,3,4,2,369.888,4.99,-4.86,369.888,4.99,-4.86,1.0
144,EPIC 206024342 c,2,1,3,4,2,369.888,4.99,-4.86,369.888,4.99,-4.86,1.0
145,EPIC 206024342 d,3,1,3,4,2,369.888,4.99,-4.86,369.888,4.99,-4.86,1.0
