pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,sy_dist,sy_disterr1,sy_disterr2,pl_nnotes
2.37756000,0.00013000,-0.00011000,0,11.1017000,0.0060500,-0.0060500,0
3853.00000000,51.00000000,-47.00000000,0,4.9643500,0.0010650,-0.0010650,1
1925.31000000,6.50000000,-6.50000000,0,8.8005800,0.0036150,-0.0036150,0
5990.00000000,110.00000000,-100.00000000,0,8.8005800,0.0036150,-0.0036150,0
15.76491000,0.00039000,-0.00039000,0,10.7836000,0.0054000,-0.0053000,4
61.11660000,0.00860000,-0.00860000,0,4.6751700,0.0016700,-0.0016700,0
30.08810000,0.00820000,-0.00820000,0,4.6751700,0.0016700,-0.0016700,0
1.93778000,0.00002000,-0.00002000,0,4.6751700,0.0016700,-0.0016700,1
124.26000000,0.70000000,-0.70000000,0,4.6751700,0.0016700,-0.0016700,0
9.26200000,0.00100000,-0.00100000,0,3.2900000,0.0100000,-0.0100000,1
21.78900000,0.00400000,-0.00500000,0,3.2900000,0.0100000,-0.0100000,1
284.39000000,1.47000000,-1.47000000,0,6.2602200,0.0032650,-0.0032650,1
771.36000000,1.34000000,-1.23000000,0,4.4710000,0.0021500,-0.0021500,1
13.45860000,0.00440000,-0.00670000,0,23.8839000,0.0254000,-0.0253000,0
73.94000000,0.33000000,-0.38000000,0,11.9315000,0.0093000,-0.0093000,0
18.27000000,0.01000000,-0.01000000,0,30.6203000,0.0418500,-0.0418500,1
19240.75467000,8353.76637000,-4514.32010000,0,20.5121000,0.0247000,-0.0247000,0
1.20898190,0.00000710,-0.00000710,0,29.6610000,0.0543000,-0.0541000,2
3.64809600,0.00006300,-0.00006300,0,29.6610000,0.0543000,-0.0541000,2
6.20147000,0.00006300,-0.00006300,0,29.6610000,0.0543000,-0.0541000,2
1.74457900,0.00000800,-0.00000800,0,655.0130000,17.1020000,-16.2690000,0
,,,,151.1690000,1.0960000,-1.0810000,1
,,,,108.5000000,0.5130000,-0.5080000,1
,,,,47.5501000,0.1649000,-0.1638000,0
3.05252400,0.00001700,-0.00001700,0,363.6600000,3.0580000,-3.0080000,0
3.69152240,0.00000390,-0.00000390,0,209.2290000,1.1340000,-1.1210000,0
3.82200000,0.00100000,-0.00100000,0,14.9545000,0.0072500,-0.0072500,0
13.85080000,0.00530000,-0.00510000,0,9.8528000,0.0032800,-0.0032800,1
15.53000000,0.00110000,-0.00110000,0,8.1572800,0.0023200,-0.0023200,0
4.46529976,0.00000055,-0.00000055,0,158.9790000,0.9770000,-0.9650000,2
4.88780244,,,0,37.7647000,0.0337000,-0.0336000,1
3407.00000000,360.00000000,-190.00000000,0,37.7647000,0.0337000,-0.0336000,1
3.21305980,0.00000210,-0.00000210,0,142.7510000,0.4530000,-0.4500000,1
2.91625000,0.00001500,-0.00001500,0,246.8100000,2.2280000,-2.1880000,0
446.27000000,0.22000000,-0.22000000,0,246.8100000,2.2280000,-2.1880000,0
4.62767000,0.00000500,-0.00000500,0,222.6630000,1.2570000,-1.2440000,1
10.86350000,0.00002700,-0.00002700,0,192.5160000,2.0530000,-2.0100000,0
2.77596000,0.00000300,-0.00000300,0,226.6370000,4.4710000,-4.3050000,2
10.33852000,0.00000900,-0.00000900,0,92.3831000,0.4851000,-0.4802000,0
5584.00000000,7700.00000000,-2100.00000000,0,92.3831000,0.4851000,-0.4802000,0
5.50802300,0.00000600,-0.00000600,0,161.4000000,0.6100000,-0.6050000,1
4.00877800,0.00000600,-0.00000600,0,202.0780000,1.4710000,-1.4510000,0
5.63351580,0.00000360,-0.00000360,0,127.7740000,0.4250000,-0.4230000,2
2.87531700,0.00000400,-0.00000400,0,71.0374000,0.1994000,-0.1983000,0
4.12448000,0.00000700,-0.00000700,0,277.2780000,3.2150000,-3.1440000,0
3.21222000,0.00000900,-0.00000900,0,81.7647000,0.2505000,-0.2489000,1
1.21288400,0.00000200,-0.00000200,0,364.8130000,4.7720000,-4.6530000,0
3.35524000,0.00000700,-0.00000700,0,415.3440000,6.6360000,-6.4350000,3
