Unnamed: 0,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_locale,sy_dist,sy_disterr1,sy_disterr2,sy_dist.1,sy_disterr1.1,sy_disterr2.1,pl_nnotes
318,2,1,2,1,1,37.7647,0.0337,-0.0336,37.7647,0.0337,-0.0336,1.0
4060,1,1,3,4,2,1366.07,65.81,-60.13,1366.07,65.81,-60.13,1.0
274,6,3,5,1,1,7.24396,0.00486,-0.00485,7.24396,0.00486,-0.00485,3.0
4756,1,1,1,1,1,914.221,30.32,-30.32,914.221,30.32,-30.32,0.0
4505,1,1,1,4,2,839.255,17.655,-16.954,839.255,17.655,-16.954,1.0
1397,1,1,2,4,2,243.935,4.239,-4.099,243.935,4.239,-4.099,0.0
2024,1,1,1,4,2,713.167,16.252,-15.555,713.167,16.252,-15.555,1.0
1454,1,1,1,4,2,300.397,2.651,-2.606,300.397,2.651,-2.606,0.0
2917,1,1,1,4,2,375.522,3.03,-2.982,375.522,3.03,-2.982,0.0
4347,1,2,1,4,2,278.987,2.087,-2.056,278.987,2.087,-2.056,2.0
5326,1,2,1,4,1,288.326,2.036,-2.008,288.326,2.036,-2.008,2.0
295,4,1,4,1,1,4.67517,0.00167,-0.00167,4.67517,0.00167,-0.00167,0.0
1330,1,1,1,4,2,289.543874,2.3252793,-2.3252793,289.543874,2.3252793,-2.3252793,0.0
1867,1,1,1,7,1,2740.0,1020.0,-1020.0,2740.0,1020.0,-1020.0,7.0
298,1,2,1,5,1,6.26022,0.003265,-0.003265,6.26022,0.003265,-0.003265,1.0
68,2,1,2,1,1,41.3342,0.0685,-0.0682,41.3342,0.0685,-0.0682,0.0
736,1,2,1,1,1,60.178,0.1491,-0.1484,60.178,0.1491,-0.1484,1.0
2328,1,1,2,4,2,396.379,3.947,-3.872,396.379,3.947,-3.872,2.0
1992,1,1,1,4,2,489.435,3.8115,-3.8115,489.435,3.8115,-3.8115,1.0
2104,2,1,2,4,2,657.223,6.014,-5.908,657.223,6.014,-5.908,1.0
150,1,1,2,4,2,314.35,2.936,-2.882,314.35,2.936,-2.882,0.0
756,1,1,1,1,1,123.801,0.7975,-0.7975,123.801,0.7975,-0.7975,0.0
1694,1,1,2,4,2,274.864,2.884,-2.825,274.864,2.884,-2.825,0.0
2998,3,1,3,4,2,716.025,10.369,-10.082,716.025,10.369,-10.082,1.0
1755,1,1,1,4,2,738.553,15.745,-15.113,738.553,15.745,-15.113,0.0
2005,1,1,1,4,2,942.485,23.959,-22.818,942.485,23.959,-22.818,1.0
1837,1,1,1,7,1,4880.0,1650.0,-2180.0,4880.0,1650.0,-2180.0,2.0
376,1,1,1,4,1,4483.05,3720.23,-2222.73,4483.05,3720.23,-2222.73,1.0
1448,1,1,2,4,2,107.518,0.602,-0.596,107.518,0.602,-0.596,2.0
859,1,1,1,1,1,13.1277,0.0069,-0.007,13.1277,0.0069,-0.007,0.0
2142,1,1,1,4,2,495.156,4.886,-4.886,495.156,4.886,-4.886,1.0
3450,1,1,3,4,2,838.595,20.317,-19.394,838.595,20.317,-19.394,1.0
1617,1,1,1,4,2,348.646,6.323,-6.106,348.646,6.323,-6.106,0.0
378,1,1,1,4,1,738.519,19.924,-18.922,738.519,19.924,-18.922,0.0
4267,1,1,1,4,2,665.68,13.6185,-13.6185,665.68,13.6185,-13.6185,1.0
1817,1,1,1,4,2,1461.15,56.0,-52.1,1461.15,56.0,-52.1,2.0
2306,1,1,1,4,2,1054.87,30.75,-29.08,1054.87,30.75,-29.08,1.0
2760,1,2,1,4,2,75.0852,0.1541,-0.1536,75.0852,0.1541,-0.1536,1.0
2598,3,1,3,4,2,791.163,15.337,-14.776,791.163,15.337,-14.776,1.0
3034,1,1,1,4,2,1299.32,29.89,-29.89,1299.32,29.89,-29.89,0.0
841,1,2,5,1,1,35.9864,0.0414,-0.0413,35.9864,0.0414,-0.0413,4.0
4205,1,1,2,4,2,760.708,9.8,-9.559,760.708,9.8,-9.559,1.0
4080,1,1,1,4,2,436.016,3.23,-3.184,436.016,3.23,-3.184,1.0
175,1,1,1,2,2,133.4950466,22.9649891,-22.9649891,133.4950466,22.9649891,-22.9649891,1.0
2519,1,1,3,4,2,548.686,4.126,-4.067,548.686,4.126,-4.067,1.0
927,3,1,5,4,2,39.0341,0.0401,-0.04,39.0341,0.0401,-0.04,0.0
3317,2,1,4,4,2,775.328,8.8585,-8.8585,775.328,8.8585,-8.8585,1.0
45,1,1,1,2,1,50.0475,0.0735,-0.0733,50.0475,0.0735,-0.0733,1.0
1260,2,1,3,1,1,25.8618,0.0337,-0.0335,25.8618,0.0337,-0.0335,0.0
1096,1,3,2,1,1,35.1205,0.0395,-0.0394,35.1205,0.0395,-0.0394,3.0
2549,1,1,1,4,2,593.646,21.954,-20.468,593.646,21.954,-20.468,1.0
1569,1,1,1,4,2,158.335,1.297,-1.277,158.335,1.297,-1.277,0.0
4698,1,1,1,4,2,18.2276,0.011,-0.011,18.2276,0.011,-0.011,0.0
4923,2,2,1,2,1,112.3172158,5.4094838,-5.4094838,112.3172158,5.4094838,-5.4094838,4.0
1030,1,2,2,1,1,41.5504,0.4635,-0.4535,41.5504,0.4635,-0.4535,4.0
3256,1,1,3,4,2,495.358,4.2465,-4.2465,495.358,4.2465,-4.2465,1.0
3767,2,1,3,4,2,762.596,7.25,-7.118,762.596,7.25,-7.118,1.0
2952,1,1,1,4,2,1091.63,29.97,-29.97,1091.63,29.97,-29.97,0.0
283,1,1,1,1,1,14.3155,0.0081,-0.0081,14.3155,0.0081,-0.0081,1.0
3573,1,2,5,4,2,167.0,21.428,-20.247,167.0,21.428,-20.247,3.0
2764,1,1,2,4,2,1030.81,34.2705,-34.2705,1030.81,34.2705,-34.2705,1.0
3250,1,1,2,4,2,287.339,2.098,-2.068,287.339,2.098,-2.068,0.0
3725,2,1,3,4,2,1298.88,28.87,-27.66,1298.88,28.87,-27.66,1.0
2602,1,1,1,4,2,1273.78,37.05,-35.04,1273.78,37.05,-35.04,1.0
1593,1,2,4,4,2,157.682,1.309,-1.288,157.682,1.309,-1.288,1.0
2753,1,1,1,4,2,638.249,13.378,-12.85,638.249,13.378,-12.85,1.0
2370,2,1,3,4,2,866.331,13.474,-13.074,866.331,13.474,-13.074,1.0
1612,1,1,1,4,2,557.993,17.633,-16.602,557.993,17.633,-16.602,1.0
2503,1,1,1,4,2,572.403,4.8765,-4.7835,572.403,4.8765,-4.7835,1.0
2330,1,1,1,4,2,1486.7,34.73,-34.73,1486.7,34.73,-34.73,1.0
2227,1,1,1,4,2,317.022,2.94,-2.886,317.022,2.94,-2.886,1.0
3265,1,1,1,4,2,912.085,30.4555,-30.4555,912.085,30.4555,-30.4555,0.0
2687,1,1,1,4,2,416.692,2.5355,-2.5355,416.692,2.5355,-2.5355,1.0
1406,1,1,1,4,2,99.9293,0.3607,-0.3581,99.9293,0.3607,-0.3581,1.0
3958,3,1,3,4,2,1072.3,22.025,-22.025,1072.3,22.025,-22.025,1.0
5036,1,1,1,4,2,128.438,0.25,-0.25,128.438,0.25,-0.25,0.0
257,3,1,3,1,1,9.06456,0.00367,-0.00367,9.06456,0.00367,-0.00367,0.0
507,1,2,1,1,1,48.9102,0.0618,-0.0615,48.9102,0.0618,-0.0615,1.0
2378,1,1,1,4,2,800.871,9.938,-9.701,800.871,9.938,-9.701,1.0
